timestamp,duration,respCode
1589465829114,177,200
1589465829129,181,500
1589465829162,220,500
1589465829145,244,200
1589465829232,178,200
1589465829195,219,200
1589465829254,178,200
1589465829226,248,500
1589465829241,290,500
1589465829255,373,500
1589465830207,69,200
1589465830215,127,500
1589465830352,92,200
1589465830352,102,500
1589465830362,116,200
1589465830426,122,500
1589465830454,106,200
1589465830506,115,500
1589465830600,79,200
1589465830620,94,500
1589465831356,85,500
1589465831382,117,500
1589465831394,145,500
1589465831408,197,500
1589465831577,105,500
1589465831570,164,500
1589465831607,185,500
1589465831632,204,500
1589465831664,226,500
1589465831713,226,500
1589465832375,70,500
1589465832529,84,500
1589465832538,115,500
1589465832556,164,500
1589465832605,150,500
1589465832748,83,500
1589465832760,100,500
1589465832909,84,500
1589465832939,90,500
1589465832963,114,500
1589465833378,166,500
1589465833566,107,500
1589465833671,83,500
1589465833695,134,500
1589465833769,113,500
1589465833877,143,500
1589465833903,117,500
1589465833995,237,500
1589465834079,228,500
1589465834071,278,500
1589465834603,72,500
1589465834647,95,500
1589465834815,96,500
1589465834821,128,500
1589465834855,159,500
1589465835099,119,500
1589465835113,192,500
1589465835265,134,500
1589465835330,119,500
1589465835395,127,500
1589465835747,88,500
1589465835783,98,500
1589465835847,88,500
1589465836045,90,500
1589465836051,137,500
1589465836162,75,500
1589465836333,80,500
1589465836400,92,200
1589465836436,108,200
1589465836456,96,200
1589465836811,61,200
1589465836862,67,200
1589465836951,65,200
1589465837158,71,200
1589465837187,96,200
1589465837211,107,200
1589465837470,52,200
1589465837552,102,200
1589465837587,124,200
1589465837630,106,200
1589465837833,76,200
1589465837918,69,200
1589465838080,46,200
1589465838226,58,200
1589465838230,126,200
1589465838289,92,200
1589465838490,82,200
1589465838721,71,200
1589465838726,91,200
1589465838824,115,200
1589465838869,126,200
1589465839048,74,200
1589465839077,85,200
1589465839366,52,200
1589465839404,54,200
1589465839470,47,200
1589465839522,47,200
1589465839751,63,200
1589465839917,70,200
1589465839909,82,200
1589465840028,50,200
1589465840151,49,200
1589465840217,49,200
1589465840339,52,200
1589465840489,49,200
1589465840555,171,200
1589465840619,111,200
1589465840838,50,200
1589465840980,56,200
1589465840992,57,200
1589465841066,45,200
1589465841192,45,200
1589465841275,45,200
1589465841389,52,200
1589465841441,44,200
1589465841639,44,200
1589465841798,65,200
1589465841812,67,200
1589465842102,59,200
1589465842127,65,200
1589465842191,47,200
1589465842271,45,200
1589465842296,60,200
1589465842520,62,200
1589465842533,66,200
1589465842771,79,200
1589465842804,59,200
1589465842843,74,200
1589465843164,69,200
1589465843266,53,200
1589465843259,60,200
1589465843305,53,200
1589465843424,47,200
1589465843545,48,200
1589465843557,60,200
1589465843804,87,200
1589465843811,81,200
1589465843973,49,200
1589465844201,45,200
1589465844347,71,200
1589465844353,66,200
1589465844392,81,200
1589465844548,54,200
1589465844568,61,200
1589465844626,49,200
1589465844899,63,200
1589465844948,52,200
1589465844982,61,200
1589465845291,60,200
1589465845460,57,200
1589465845526,62,200
1589465845557,55,200
1589465845653,64,200
1589465845680,65,200
1589465845689,89,200
1589465846003,50,200
1589465846048,109,200
1589465846046,121,200
1589465846430,53,200
1589465846445,65,200
1589465846540,47,200
1589465846603,44,200
1589465846685,44,200
1589465846732,48,200
1589465846757,54,200
1589465847066,67,200
1589465847088,55,200
1589465847150,47,200
1589465847507,45,200
1589465847562,78,200
1589465847572,77,200
1589465847659,47,200
1589465847790,51,200
1589465847802,50,200
1589465847871,46,200
1589465848101,59,200
1589465848211,50,200
1589465848233,75,200
1589465848594,61,200
1589465848604,84,200
1589465848592,104,200
1589465848617,131,200
1589465848848,54,200
1589465848859,52,200
1589465848949,45,200
1589465849129,66,200
1589465849218,42,200
1589465849298,45,200
1589465849604,52,200
1589465849624,59,200
1589465849713,58,200
1589465849716,107,200
1589465849841,61,200
1589465849863,63,200
1589465849896,81,200
1589465850183,77,200
1589465850320,47,200
1589465850326,74,200
1589465850597,51,200
1589465850614,59,200
1589465850730,43,200
1589465850911,59,200
1589465850951,45,200
1589465850984,46,200
1589465850798,261,200
1589465851328,44,200
1589465851327,121,200
1589465851329,123,200
1589465851612,48,200
1589465851743,54,200
1589465851751,52,200
1589465851931,45,200
1589465852031,65,200
1589465852031,137,200
1589465852070,135,200
1589465852273,52,200
1589465852398,51,200
1589465852414,54,200
1589465852724,48,200
1589465852736,58,200
1589465852788,71,200
1589465852890,45,200
1589465853022,46,200
1589465853103,42,200
1589465853246,48,200
1589465853301,43,200
1589465853435,48,200
1589465853530,46,200
1589465853786,51,200
1589465853819,49,200
1589465853877,87,200
1589465854024,54,200
1589465854048,66,200
1589465854127,47,200
1589465854276,49,200
1589465854365,44,200
1589465854536,49,200
1589465854666,50,200
1589465854808,53,200
1589465854830,53,200
1589465854890,44,200
1589465855020,44,200
1589465855044,49,200
1589465855172,44,200
1589465855349,81,200
1589465855397,74,200
1589465855524,43,200
1589465855780,81,200
1589465855796,66,200
1589465855950,51,200
1589465855965,70,200
1589465856045,45,200
1589465856105,44,200
1589465856164,43,200
1589465856388,63,200
1589465856394,62,200
1589465856469,48,200
1589465856897,58,200
1589465856894,65,200
1589465856954,42,200
1589465857030,41,200
1589465857093,46,200
1589465857127,43,200
1589465857255,42,200
1589465857496,44,200
1589465857497,54,200
1589465857527,54,200
1589465857957,61,200
1589465857966,85,200
1589465858010,71,200
1589465858081,45,200
1589465858170,55,200
1589465858210,58,200
1589465858394,42,200
1589465858546,46,200
1589465858567,57,200
1589465858626,45,200
1589465858975,53,200
1589465859036,74,200
1589465859081,56,200
1589465859113,60,200
1589465859273,49,200
1589465859322,66,200
1589465859394,46,200
1589465859592,58,200
1589465859615,61,200
1589465859711,73,200
1589465860038,45,200
1589465860064,60,200
1589465860113,46,200
1589465860124,79,200
1589465860326,49,200
1589465860458,61,200
1589465860462,65,200
1589465860623,46,200
1589465860744,63,200
1589465860758,57,200
1589465861098,48,200
1589465861170,48,200
1589465861219,62,200
1589465861243,77,200
1589465861339,48,200
1589465861532,69,200
1589465861568,58,200
1589465861765,62,200
1589465861758,76,200
1589465861875,80,200
1589465862072,62,200
1589465862123,62,200
1589465862254,92,200
1589465862254,96,200
1589465862403,53,200
1589465862551,62,200
1589465862673,52,200
1589465862917,106,200
1589465863097,90,200
1589465862846,415,200
1589465863053,230,200
1589465863257,73,200
1589465863145,224,200
1589465863315,83,200
1589465863491,48,200
1589465863526,53,200
1589465863691,45,200
1589465864108,72,200
1589465864185,80,200
1589465864246,62,200
1589465864254,62,200
1589465864301,64,200
1589465864446,60,200
1589465864465,107,200
1589465864530,98,200
1589465864534,95,200
1589465864786,53,200
1589465865229,57,200
1589465865235,62,200
1589465865302,65,200
1589465865344,76,200
1589465865404,63,200
1589465865576,56,200
1589465865582,59,200
1589465865666,50,200
1589465865715,55,200
1589465865787,49,200
1589465866221,65,200
1589465866272,48,200
1589465866339,60,200
1589465866392,54,200
1589465866425,62,200
1589465866546,59,200
1589465866739,72,200
1589465866770,58,200
1589465866782,75,200
1589465866929,53,200
1589465867298,74,200
1589465867330,83,200
1589465867342,76,200
1589465867548,56,200
1589465867534,75,200
1589465867557,72,200
1589465867733,48,200
1589465867772,52,200
1589465867809,73,200
1589465868021,57,200
1589465868353,45,200
1589465868397,49,200
1589465868452,58,200
1589465868609,52,200
1589465868662,47,200
1589465868705,79,200
1589465868714,80,200
1589465868789,81,200
1589465868856,57,200
1589465869138,45,200
1589465869393,54,200
1589465869490,70,200
1589465869543,54,200
1589465869761,58,200
1589465869809,57,200
1589465869849,67,200
1589465869860,66,200
1589465869923,49,200
1589465869978,55,200
1589465870191,48,200
1589465870504,63,200
1589465870525,65,200
1589465870542,73,200
1589465870754,48,200
1589465870826,48,200
1589465870896,61,200
1589465870901,71,200
1589465871014,74,200
1589465871051,72,200
1589465871266,44,200
1589465871549,51,200
1589465871611,46,200
1589465871638,51,200
1589465871796,51,200
1589465871801,67,200
1589465871895,60,200
1589465871894,78,200
1589465872090,41,200
1589465872130,48,200
1589465872250,43,200
1589465872630,47,200
1589465872659,47,200
1589465872783,65,200
1589465872787,69,200
1589465872850,66,200
1589465872859,63,200
1589465872947,46,200
1589465873128,48,200
1589465873155,52,200
1589465873363,49,200
1589465873627,60,200
1589465873655,50,200
1589465873869,62,200
1589465873890,86,200
1589465873919,65,200
1589465874012,52,200
1589465874013,68,200
1589465874122,50,200
1589465874249,65,200
1589465874506,43,200
1589465874778,46,200
1589465874806,60,200
1589465874891,47,200
1589465874941,54,200
1589465875003,49,200
1589465875008,51,200
1589465875095,53,200
1589465875206,44,200
1589465875326,46,200
1589465875559,45,200
1589465875815,55,200
1589465875843,79,200
1589465875880,79,200
1589465876041,98,200
1589465876056,99,200
1589465876043,116,200
1589465876055,107,200
1589465876307,42,200
1589465876368,48,200
1589465876587,46,200
1589465876792,44,200
1589465876833,52,200
1589465876965,61,200
1589465877130,52,200
1589465877148,50,200
1589465877214,63,200
1589465877220,74,200
1589465877332,52,200
